block_end_hr,feature_index,feature,importance,norm_importance
36,51,deltaminrat,0.00020736710575874895,0.043152065933232155
36,52,thetaminrat,6.443237361963838e-05,0.013408057292866841
36,53,alphaminrat,3.8317502912832424e-05,0.00797368225804829
36,54,betaminrat,8.212311513489112e-06,0.0017089412836122986
36,55,deltastdrat,5.398561916081235e-05,0.011234139517691796
36,56,thetastdrat,3.395804378669709e-05,0.0070665004417428574
36,57,alphastdrat,1.4048467164684553e-05,0.0029234163206993498
36,58,betastdrat,3.0956432510720333e-06,0.0006441880026595759
36,59,deltapctrat,0.0003106103395111859,0.06463647067401294
36,60,thetapctrat,0.00011291958799120039,0.023498006052216438
36,61,alphapctrat,6.271908205235377e-05,0.013051529817577057
36,62,betapctrat,4.622095002559945e-05,0.009618350392186758
36,63,deltathetamean,3.7986712868587347e-06,0.0007904846490933292
36,64,deltaalphamean,1.5097735968083725e-06,0.0003141763953127809
36,65,thetaalphamean,2.4798300728434697e-05,0.0051604033539942714
36,66,deltathetamin,2.998269883391913e-05,0.006239250879272756
36,67,deltaalphamin,9.199208761856426e-06,0.0019143097048720187
36,68,thetaalphamin,5.651348692481406e-05,0.011760176258300024
36,69,deltathetastd,9.37367349251872e-06,0.0019506149497806379
36,70,deltaalphastd,4.351956249593059e-06,0.0009056205049197306
36,71,thetaalphastd,5.4709703363187145e-06,0.0011384817847930153
36,72,deltathetapct,5.20337198395282e-06,0.0010827958952558789
36,73,deltaalphapct,5.2102204790571705e-06,0.0010842210331108199
36,74,thetaalphapct,6.244611995498417e-06,0.0012994727759314886
36,75,meanlogentropy,8.122802682919428e-05,0.016903149400356893
36,76,xcorrmean,1.1383806786113837e-08,2.368913715645252e-06
36,77,xcorrstd,2.656482502061408e-05,0.00552800829524019
36,78,corrmean,3.302928962511942e-05,0.006873231308388651
36,79,geomeanamp,9.478597462475591e-08,1.9724491073872108e-05
36,80,harmmeanamp,1.6165068927875836e-07,3.3638706468830104e-05
36,81,meanskewamp,2.5265173462685198e-05,0.005257557253775486
36,82,stdskewamp,2.0494970158324577e-05,0.004264901611736625
36,83,overallskewamp,3.1541483622277156e-05,0.006563626260396129
36,84,meaniqrchannelamp,1.7915280636771058e-07,3.72808102047634e-05
36,85,overalliqramp,8.865654166356762e-08,1.8448986483562396e-05
36,86,avgspectent,5.807224806630984e-05,0.012084546718628677
36,87,sdspectent,4.757477654493414e-06,0.0009900074974350985
36,88,pctchangepoint,1.7656260752119124e-05,0.0036741802675115858
36,89,pctpeakpoint,0.00013371855311561376,0.027826167508237604
36,90,avgspectkurt,6.500427844002843e-05,0.013527067848695866
36,91,sdspectkurt,0.00010312550148228183,0.02145990523944661
36,92,meanrms,2.4640249307594786e-07,5.127513637431127e-05
36,93,sdrms,1.5640073058875714e-07,3.254621611116826e-05
48,0,SignalSD,6.09828489928077e-08,1.4464825214454488e-05
48,1,lv_l5,2.4115493943099864e-05,0.0057200739323988595
48,2,lv_l10,9.464812319492921e-05,0.022450059016630632
48,3,lv_l20,0.00012807110033463687,0.030377821173652814
48,4,SIQ,0.0002193388354498893,0.052026069131319685
48,5,SIQ_delta,0.0005491816555149853,0.13026312789922145
48,6,SIQ_theta,0.00039515033131465316,0.09372767212916466
48,7,SIQ_alpha,0.00022072186402510852,0.05235411655674419
48,8,SIQ_beta,0.00012419307313393801,0.029457972616862282
48,9,BCI,0.00024600085453130305,0.058350166024900126
48,10,BSAR,9.02165993466042e-07,0.00021398923837503985
48,11,d0MaxAmp,1.0388215798684541e-07,2.4640325648893293e-05
48,12,d0MeanMaxAmp,9.846521464851321e-08,2.3355453920535375e-05
48,13,d0VarMaxAmp,3.550002958263576e-08,8.420428554942592e-06
48,14,d0VarMeanAmp,3.054639652333435e-09,7.245451695665499e-07
48,15,d0VarVarAmp,1.5002285636001034e-08,3.558466734928532e-06
48,16,d0MeanVarAmp,5.76843373067959e-09,1.3682434824467566e-06
48,17,d0MaxMaxFourAmp,1.1419054146699636e-07,2.7085422389151188e-05
48,18,d0MeanMaxFourAmp,2.443321420741995e-07,5.795435581885297e-05
48,19,d0VarMaxFourAmp,2.664978682176411e-09,6.321195463084291e-07
48,20,d1MaxAmp,4.3016942896656474e-08,1.0203402604783049e-05
48,21,d1MeanMaxAmp,1.607904209777189e-08,3.8138679547024195e-06
48,22,d1VarMaxAmp,1.816135908327965e-09,4.30778307565736e-07
48,23,d1VarMeanAmp,8.965824527251698e-09,2.126648505803006e-06
48,24,d1VarVarAmp,1.106312197407533e-08,2.6241169168738538e-06
48,25,d1MeanVarAmp,1.8756365349759108e-08,4.448915570912634e-06
48,26,d1MaxMaxFourAmp,9.704802295118498e-09,2.3019303174287906e-06
48,27,d1MeanMaxFourAmp,6.103630934006787e-09,1.44775057400743e-06
48,28,d1VarMaxFourAmp,8.631468872977166e-09,2.047341025447077e-06
48,29,d2MaxAmp,3.83365801326363e-08,9.093244085790643e-06
48,30,d2MeanMaxAmp,4.770102890461203e-08,1.1314444258519822e-05
48,31,d2VarMaxAmp,1.010781147670059e-08,2.3975220693341967e-06
48,32,d2VarMeanAmp,8.743898050056487e-09,2.0740086610580196e-06
48,33,d2VarVarAmp,2.4836593226496007e-08,5.891115057385063e-06
48,34,d2MeanVarAmp,4.83427164965633e-08,1.1466649329505502e-05
48,35,d2MaxMaxFourAmp,1.6974501804156716e-08,4.026266495494944e-06
48,36,d2MeanMaxFourAmp,6.699645638263974e-08,1.589122265634067e-05
48,37,d2VarMaxFourAmp,8.777394810977057e-09,2.081953924356944e-06
48,38,linelengthmean,5.6728261199623375e-08,1.345565837813267e-05
48,39,kurtavg,1.1230539485040936e-06,0.0002663827508850987
48,40,shanavg,8.545219642996926e-09,2.026883141678928e-06
48,41,nlemean,1.4239520673697825e-08,3.3775427203629424e-06
48,42,nleavgstd,1.0077633838534439e-08,2.3903640852670713e-06
48,43,deltakurtosis,3.149778058286756e-05,0.007471115211887726
48,44,thetakurtosis,0.0001690136850811541,0.0400891964532205
48,45,alphakurtosis,9.996830340242013e-05,0.023711979016790553
48,46,betakurtosis,7.925977115519345e-05,0.018800019271529116
48,47,deltameanrat,0.00021018035477027297,0.04985372355467677
48,48,thetameanrat,4.611588883562945e-05,0.010938457002808539
48,49,alphameanrat,5.814521500724368e-05,0.013791752698137311
48,50,betameanrat,1.178781076305313e-05,0.002796009454539237
48,51,deltaminrat,0.00017975448281504214,0.04263685968067685
48,52,thetaminrat,6.112238770583645e-05,0.014497923095710392
48,53,alphaminrat,3.6351149901747704e-05,0.008622310015972346
48,54,betaminrat,8.03997681941837e-06,0.0019070420838302989
48,55,deltastdrat,4.24763529736083e-05,0.010075177392633491
48,56,thetastdrat,2.7746435080189258e-05,0.0065813149170266035
48,57,alphastdrat,1.2511535715020727e-05,0.002967673374911101
48,58,betastdrat,3.3040132620953955e-06,0.0007836953361769974
48,59,deltapctrat,0.00026805829838849604,0.06358208082293734
48,60,thetapctrat,9.778327512321994e-05,0.023193701293311306
48,61,alphapctrat,5.4998050472931936e-05,0.013045261091696975
48,62,betapctrat,4.471645297599025e-05,0.010606517852000608
48,63,deltathetamean,3.0880628401064314e-06,0.0007324729816847292
48,64,deltaalphamean,1.2868828207501792e-06,0.0003052421357983931
48,65,thetaalphamean,2.2517566321766935e-05,0.005341053533554328
48,66,deltathetamin,2.5864190320135094e-05,0.006134855922166961
